@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  {text, code}

@DATA

0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.024390244,6,0.166666667, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0.5,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0.5,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
1,0,0,0,0,0,0,0, text
1.333333333,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
2,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
6.333333333,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
9,0,0,0,0,0,0,0, text
10,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
13,0,0,0,0,0,0,0, text
14,0,0,0,0,0,0,0, text
15,0,0,0,0,0,0,0, text
11.33333333,0,0,0,0,0,0,0, text
11.33333333,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
15,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
18,0,0,0,0,0,0,0, text
19,0,0,0,0,0,0,0, text
19,0,0,0,0,0,0,0, text
12.66666667,0,0,0,0,0,0,0, text
18,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
19,0,0,0,0,0,0,0, text
19,0,0,0,0,0,0,0, text
19,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
15,0,0,0,0,0,0,0, text
10,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
11.33333333,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
17,0,0,0,0,0,0,0, text
10,0,0,0,0,0,0,0, text
14,0,0,0,0,0,0,0, text
13,0,0,0,0,0,0,0, text
12,0,0,0,0,0,0,0, text
7.333333333,0,0,0,0,0,0,0, text
9,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
10.66666667,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,1,0,0, text
6.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
6,0,0,0,0,0,0,0, text
5.333333333,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
2.666666667,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
10,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
9,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
3,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.333333333, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.333333333,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.75,0,0,4,0.25, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0,3,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.333333333,0,0,3,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.5,0,0,0,2,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.333333333,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
4,0,0,0,0,0,0,0, text
3.25,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
6,0,0,0,0,0,0,0, text
4.333333333,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4.666666667,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
1,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
5,0,0,0,0,0,0,0, text
1.666666667,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
4,0,0,0,0,0,0,0, text
6,0,0,0,0,0,0,0, text
7,0,0,0,0,0,0,0, text
8,0,0,0,0,0,0,0, text
9,0,0,0,0,0,0,0, text
20.4,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0.25, text
14,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,5,0.6, text
0,0,0.5,0,0,0,2,0, text
1,0,0,0.103448276,0,0,58,0.362068966, text
0,0,0,0,0,0,0,0, text
0,0,0.020408163,0.020408163,0,0,49,0.428571429, text
0,0,0.133333333,0,0,0,15,0.533333333, text
0,0,0,0,0,0.076923077,1,0, text
0,0,0.666666667,0,0,0,3,0.333333333, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,52,0.442307692, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.037037037,0,0,0,27,0.481481481, text
0,0,0,0,0,0,0,0, text
0.5,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0.0625,0,0,0,16,0.4375, text
0,0,0,0,0,0,0,0, text
0,0,0,0.076923077,0.025,0,13,0.307692308, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0.018518519,10,0.5, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0.04,0,7,0.285714286, text
0,0,0,0,0,0,0,0, text
0,0,0.1,0,0.028985507,0.014492754,10,0.3, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.092105263,0,0,76,0.565789474, text
0,0,0,0,0,0,3,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0.034482759,0.006535948,0.003267974,58,0.413793103, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
6.4,2,0.19047619,0.285714286,0.074829932,0,21,0.095238095, code
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,1,0, text
0,0,0,0,0,0,2,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,3,0.666666667, text
0,0,0,0,0,0,0,0, text
0,1,0.018348624,0.082568807,0.012955466,8.10E-04,218,0.467889908, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,4,0, text
0,0,0,0,0,0,0,0, text
0,0,0.25,0.5,0.129032258,0,8,0, text
0,0,0.25,0.5,0.125,0,8,0, text
0,0,0.25,0.5,0.125,0,8,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,14,0.285714286, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,0,0, text
0,0,0,0,0,0,5,0.4, text
