 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
404,0.052631579,0,2,6,4,1,61,25,0.061881188,0.003843147,0.503693081,-0.571266766,text
388,4.375,5,11,18,7,10,48,10,0.025773196,0.020538015,-0.913221204,0.644074395,code
1512,3.675675676,0,1,42,0,0,220,101,0.066798942,2.37E-04,0.696670729,-0.833763358,text
470,4.583333333,2,0,12,19,10,55,19,0.040425532,0.017030142,-0.338248658,0.388710699,code
403,0,0,0,8,0,0,67,33,0.081885856,0,1.288696567,-0.85103749,text
434,1.333333333,2,0,10,26,9,55,21,0.048387097,0.021006144,-0.025828768,0.678152913,code
1176,0.205882353,0,1,15,4,4,184,86,0.073129252,0.001943277,0.945078519,-0.709572167,text
12,0,0,1,1,0,1,2,0,0,0.039583333,-1.924587584,2.030521939,code
371,0.666666667,0,2,4,0,0,51,16,0.043126685,0.001033243,-0.232252682,-0.775820164,text
