 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
21,0,0,1,2,5,1,3,0,0,0.076190476,-0.985422716,1.787109573,code
506,7.272727273,0,2,1,2,3,76,37,0.07312253,0.004078333,0.950571648,-0.823328864,text
626,3.727272727,0,7,12,59,10,39,0,0,0.028252977,-0.985422716,0.051786168,code
145,3,0,0,0,0,1,19,8,0.055172414,0.003103448,0.475323824,-0.858619395,text
28,0,0,1,3,9,1,4,0,0,0.089285714,-0.985422716,2.26115335,code
2801,20.75806452,0,15,32,19,4,418,204,0.072831132,0.003262372,0.942856588,-0.852866413,text
391,1.166666667,0,7,6,43,7,44,0,0,0.033397272,-0.985422716,0.238008134,code
616,9.481481481,0,2,2,0,5,92,42,0.068181818,0.003772848,0.819761218,-0.834387339,text
374,0.923076923,5,13,13,33,7,43,3,0.00802139,0.035016454,-0.773048136,0.296622054,code
2804,9.662650602,0,35,22,8,7,446,216,0.07703281,0.003747551,1.054100359,-0.835303072,text
