 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
17644,0.050909091,0,149,121,19,96,2843,1181,0.066934935,0.003352559,0.550599317,-0.813144687,text
85,0,0,8,0,0,2,14,0,0,0.023529412,-1.08068653,0.302578701,text
1126,0,0,12,14,2,14,199,92,0.081705151,0.005994671,0.910567448,-0.667043264,text
111,3.2,0,7,0,5,14,18,0,0,0.06045045,-1.08068653,2.344208592,text
376,1.230769231,0,6,3,0,5,66,31,0.082446809,0.006945581,0.928642545,-0.614460629,text
38,0,0,2,0,0,6,6,0,0,0.056578947,-1.08068653,2.13012533,text
42,8,0,2,0,0,1,7,3,0.071428571,0.025,0.660114697,0.383898106,text
29,0,0,3,0,0,1,3,0,0,0.028448276,-1.08068653,0.57457809,text
676,3.625,0,9,3,0,4,111,43,0.063609467,0.004373151,0.469553616,-0.756708801,text
35,0,0,1,0,1,1,7,0,0,0.02,-1.08068653,0.107412129,text
42,8,0,2,0,0,1,7,3,0.071428571,0.025,0.660114697,0.383898106,text
33,0,0,3,0,1,0,5,0,0,0.022727273,-1.08068653,0.258222662,text
1307,0.432432432,0,14,6,0,7,224,99,0.075745983,0.003497798,0.765335276,-0.805113376,text
122,1.111111111,0,3,4,11,1,13,0,0,0.027504554,-1.08068653,0.522392903,code
556,0.066666667,0,3,3,0,1,92,46,0.082733813,0.001489808,0.935637193,-0.916149567,text
33,0,0,1,0,2,0,5,0,0,0.018939394,-1.08068653,0.048763588,code
1069,0.076923077,0,6,11,0,8,173,79,0.073900842,0.003230913,0.720366937,-0.819871344,text
16,0,0,1,1,0,0,2,0,0,0.0109375,-1.08068653,-0.393718705,code
4282,0.02173913,1,13,45,13,6,724,364,0.085007006,0.001693388,0.991037676,-0.904892179,text
221,2.4,2,3,5,11,0,28,5,0.022624434,0.01638009,-0.529301526,-0.092758714,code
157,0,0,1,1,0,1,24,11,0.070063694,0.003025478,0.626850979,-0.831231348,text
332,3.285714286,3,3,5,15,1,42,13,0.039156627,0.015404475,-0.126391882,-0.146707513,code
1393,0,0,5,9,6,2,245,118,0.084709261,0.002027997,0.983781256,-0.886389226,text
220,2.545454545,2,3,5,16,0,27,4,0.018181818,0.02160124,-0.63757349,0.195956192,code
