 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
5,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
97,3,0,0,3,0,0,15,7,0.072164948,0.001546392,0.651987498,-0.318803047, text
8,1.333333333,0,0,0,0,0,0,0,0,0.008333333,-0.483072537,0.077826829, text
5,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
6,2,0,0,0,0,0,0,0,0,0.016666667,-0.483072537,0.564828069, text
4,0,0,0,0,0,0,1,1,0.25,0,3.449099728,-0.409174411, text
5,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
233,5.25,0,0,5,0,0,37,21,0.090128755,0.001126609,0.934534632,-0.343335187, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
6,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
24,0,0,0,0,0,0,3,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
470,4.583333333,2,0,12,19,10,55,19,0.040425532,0.017030142,0.152768085,0.586069613, code
4,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, code
23,0,0,0,1,0,0,3,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,1,1,0.5,0,7.381271994,-0.409174411, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
40,1,0,0,0,0,0,7,5,0.125,0.00125,1.483013596,-0.336124225, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
71,0,0,0,1,0,0,9,3,0.042253521,0,0.181519958,-0.409174411, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
124,0.333333333,0,0,0,0,0,23,13,0.10483871,1.34E-04,1.165902929,-0.401319552, text
