 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
41,0,0,0,0,0,1,6,1,0.024390244,0.007317073,0.77998388,-0.412948202, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
2,0.5,0,0,0,0,0,0,0,0,0.0125,-0.340566711,-0.296376482, text
3,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
2,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
2,0.5,0,0,0,0,0,0,0,0,0.0125,-0.340566711,-0.296376482, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
1,0,0,0,0,0,0,0,0,0,0,-0.340566711,-0.577520043, text
3,1,0,0,0,0,0,0,0,0,0.016666667,-0.340566711,-0.202661961, text
6,1.333333333,0,0,0,0,0,0,0,0,0.011111111,-0.340566711,-0.327614655, text
7,3,0,0,0,0,0,0,0,0,0.021428571,-0.340566711,-0.095559652, text
9,4,0,0,0,0,0,0,0,0,0.022222222,-0.340566711,-0.077709268, text
9,4,0,0,0,0,0,0,0,0,0.022222222,-0.340566711,-0.077709268, text
7,3,0,0,0,0,0,0,0,0,0.021428571,-0.340566711,-0.095559652, text
5,2,0,0,0,0,0,0,0,0,0.02,-0.340566711,-0.127690345, text
7,3,0,0,0,0,0,0,0,0,0.021428571,-0.340566711,-0.095559652, text
9,4,0,0,0,0,0,0,0,0,0.022222222,-0.340566711,-0.077709268, text
21,6.333333333,0,0,0,0,0,0,0,0,0.015079365,-0.340566711,-0.238362731, text
16,4.666666667,0,0,0,0,0,0,0,0,0.014583333,-0.340566711,-0.249519222, text
17,8,0,0,0,0,0,0,0,0,0.023529412,-0.340566711,-0.048308634, text
19,9,0,0,0,0,0,0,0,0,0.023684211,-0.340566711,-0.04482698, text
21,10,0,0,0,0,0,0,0,0,0.023809524,-0.340566711,-0.042008498, text
25,12,0,0,0,0,0,0,0,0,0.024,-0.340566711,-0.037724406, text
27,13,0,0,0,0,0,0,0,0,0.024074074,-0.340566711,-0.03605837, text
29,14,0,0,0,0,0,0,0,0,0.024137931,-0.340566711,-0.034622132, text
31,15,0,0,0,0,0,0,0,0,0.024193548,-0.340566711,-0.033371215, text
36,11.33333333,0,0,0,0,0,0,0,0,0.015740741,-0.340566711,-0.22348741, text
42,11.33333333,0,1,0,1,1,1,0,0,0.03015873,-0.340566711,0.100794581, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
31,15,0,0,0,0,0,0,0,0,0.024193548,-0.340566711,-0.033371215, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
37,18,0,0,0,0,0,0,0,0,0.024324324,-0.340566711,-0.03042987, text
39,19,0,0,0,0,0,0,0,0,0.024358974,-0.340566711,-0.029650539, text
39,19,0,0,0,0,0,0,0,0,0.024358974,-0.340566711,-0.029650539, text
40,12.66666667,0,0,0,0,0,0,0,0,0.015833333,-0.340566711,-0.221404865, text
37,18,0,0,0,0,0,0,0,0,0.024324324,-0.340566711,-0.03042987, text
38,12,0,0,0,0,0,0,0,0,0.015789474,-0.340566711,-0.222391334, text
39,19,0,0,0,0,0,0,0,0,0.024358974,-0.340566711,-0.029650539, text
39,19,0,0,0,0,0,0,0,0,0.024358974,-0.340566711,-0.029650539, text
39,19,0,0,0,0,0,0,0,0,0.024358974,-0.340566711,-0.029650539, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
31,15,0,0,0,0,0,0,0,0,0.024193548,-0.340566711,-0.033371215, text
32,10,0,0,0,0,0,0,0,0,0.015625,-0.340566711,-0.226090591, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
36,11.33333333,0,0,0,0,0,0,0,0,0.015740741,-0.340566711,-0.22348741, text
35,17,0,0,0,0,0,0,0,0,0.024285714,-0.340566711,-0.031298267, text
