 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
1,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
21,0,0,0,0,0,1,3,0,0,0.014285714,-0.402997285,-0.420791056, text
13,0.142857143,0,0,0,0,0,0,0,0,5.49E-04,-0.402997285,-0.716086482, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
2,0,0,0,0,0,0,0,0,0,0,-0.402997285,-0.727898299, text
6,0,0,1,0,1,1,1,0,0,0.116666667,-0.402997285,1.780144189, text
7,0,0,0,0,0,0,1,0,0,0,-0.402997285,-0.727898299, text
14,0,0,0,0,0,0,2,1,0.071428571,0,1.370251945,-0.727898299, text
19,0,0,0,0,0,0,2,0,0,0,-0.402997285,-0.727898299, text
6,0,0,1,0,1,1,1,0,0,0.116666667,-0.402997285,1.780144189, text
33,0,0,0,0,0,0,6,1,0.03030303,0,0.349290267,-0.727898299, text
2,0,0,0,0,0,0,1,0,0,0,-0.402997285,-0.727898299, text
3,4,0,0,0,0,0,0,0,0,0.066666667,-0.402997285,0.705268837, text
4,8,0,0,0,0,0,0,0,0,0.1,-0.402997285,1.421852405, text
3,4,0,0,0,0,0,0,0,0,0.066666667,-0.402997285,0.705268837, text
4,8,0,0,0,0,0,0,0,0,0.1,-0.402997285,1.421852405, text
8,10.66666667,0,0,0,0,0,0,0,0,0.066666667,-0.402997285,0.705268837, text
5,12,0,0,0,0,0,0,0,0,0.12,-0.402997285,1.851802545, text
6,16,0,0,0,0,0,0,0,0,0.133333333,-0.402997285,2.138435973, text
7,20,0,0,0,0,0,0,0,0,0.142857143,-0.402997285,2.343174135, text
6,0,0,1,0,1,1,1,0,0,0.116666667,-0.402997285,1.780144189, text
7,20,0,0,0,0,0,0,0,0,0.142857143,-0.402997285,2.343174135, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
23,0,0,0,0,0,0,4,1,0.043478261,0,0.676371811,-0.727898299, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
18,0,0,0,0,0,0,3,0,0,0,-0.402997285,-0.727898299, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
7,20,0,0,0,0,0,0,0,0,0.142857143,-0.402997285,2.343174135, text
6,16,0,0,0,0,0,0,0,0,0.133333333,-0.402997285,2.138435973, text
6,16,0,0,0,0,0,0,0,0,0.133333333,-0.402997285,2.138435973, text
7,20,0,0,0,0,0,0,0,0,0.142857143,-0.402997285,2.343174135, text
6,0,0,1,0,1,1,1,0,0,0.116666667,-0.402997285,1.780144189, text
7,20,0,0,0,0,0,0,0,0,0.142857143,-0.402997285,2.343174135, text
8,24,0,0,0,0,0,0,0,0,0.15,-0.402997285,2.496727757, text
