 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
24,0,0,0,0,0,1,4,1,0.041666667,0.0125,0.136970296,0.120281585, text
6,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
24,0,0,0,0,0,1,4,1,0.041666667,0.0125,0.136970296,0.120281585, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
65,0,0,4,0,0,0,7,0,0,0.010769231,-0.560372074,0.053740734, text
24,0,0,4,0,0,0,4,0,0,0.029166667,-0.560372074,0.761045335, text
27,0,0,2,0,0,3,4,1,0.037037037,0.046296296,0.059487811,1.419608078, text
50,0,0,7,0,0,2,7,0,0,0.0365,-0.560372074,1.042981385, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
43,0,0,0,1,0,0,8,3,0.069767442,0,0.607270965,-0.360291228, text
29,0,0,0,0,0,0,4,1,0.034482759,0,0.016738853,-0.360291228, text
71,0,0,0,0,0,0,12,7,0.098591549,0,1.089677478,-0.360291228, text
8,0,0,0,0,0,0,1,0,0,0,-0.560372074,-0.360291228, text
7,0.5,0,0,0,0,0,1,1,0.142857143,0.003571429,1.830516053,-0.22298471, text
9,0,0,0,0,0,0,1,0,0,0,-0.560372074,-0.360291228, text
141,0.25,0,1,2,0,0,27,16,0.113475177,0.001329787,1.338773105,-0.309166461, text
3,0,0,1,0,0,0,1,0,0,0.058333333,-0.560372074,1.882381898, text
6,1,0,0,0,0,0,1,0,0,0.008333333,-0.560372074,-0.039909353, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
12,0,0,1,0,0,0,2,0,0,0.014583333,-0.560372074,0.200377053, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
39,0,0,0,0,0,0,5,1,0.025641026,0,-0.131238308,-0.360291228, text
13,0,0,1,0,0,0,2,0,0,0.013461538,-0.560372074,0.157248724, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
42,0,0,0,0,0,0,5,1,0.023809524,0,-0.16189072,-0.360291228, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
13,0,0,1,0,0,0,2,0,0,0.013461538,-0.560372074,0.157248724, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
74,0,0,1,0,2,0,11,5,0.067567568,0.008445946,0.570453391,-0.035579868, text
6,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
15,0,0,1,0,0,0,2,0,0,0.011666667,-0.560372074,0.088243397, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
23,0,0,1,0,0,0,5,2,0.086956522,0.007608696,0.894951134,-0.067768646, text
4,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
16,0,0,1,0,0,0,2,0,0,0.0109375,-0.560372074,0.060209983, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
17,0,0,0,0,0,0,3,0,0,0,-0.560372074,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
15,0,0,1,0,0,0,2,0,0,0.011666667,-0.560372074,0.088243397, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
37,0,0,0,0,0,1,5,3,0.081081081,0.008108108,0.796618484,-0.048568323, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
12,0,0,1,0,0,0,2,1,0.083333333,0.014583333,0.834312667,0.200377053, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
22,0,0,0,0,0,0,4,2,0.090909091,0,0.961102189,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
14,0,0,1,0,0,0,2,0,0,0.0125,-0.560372074,0.120281585, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
21,0,0,0,0,0,0,4,2,0.095238095,0,1.033553344,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
17,0,0,1,0,0,0,2,0,0,0.010294118,-0.560372074,0.035474618, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
21,0,0,0,0,0,0,4,2,0.095238095,0,1.033553344,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
13,0,0,1,0,0,0,2,0,0,0.013461538,-0.560372074,0.157248724, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
38,0,0,0,0,0,0,5,2,0.052631579,0,0.320481446,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
13,0,0,1,0,0,0,2,0,0,0.013461538,-0.560372074,0.157248724, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
50,0,0,1,1,0,0,8,1,0.02,0.0035,-0.225647737,-0.225730841, text
38,0,0,0,0,0,0,6,3,0.078947368,0,0.760908207,-0.360291228, text
183,0,0,1,0,0,0,27,11,0.06010929,9.56E-04,0.445630034,-0.323526095, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
13,0,0,1,0,0,0,2,0,0,0.013461538,-0.560372074,0.157248724, text
2,0,0,0,0,0,0,0,0,0,0,-0.560372074,-0.360291228, text
