@RELATION codesnippets

@ATTRIBUTE length		NUMERIC
@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  	{text, code}

@DATA

7367,10.77931034,0,100,16,125,124,428,139,text
151,6.4,2,6,5,11,0,15,0.5,code
6736,3.530232558,1,181,44,72,35,757,69.75,text
17644,0.050909091,12,563,68,19,96,2296,215.25,text
85,0,0,9,0,0,2,13,0,text
1126,0,0,39,7,2,14,163,65,text
111,3.2,0,5,0,3,14,9,0,text
376,1.230769231,0,11,2,0,5,57,26,text
38,0,0,2,0,0,6,5,0,text
42,8,0,2,0,0,1,7,3,text
29,0,0,3,0,0,1,3,0,text
676,3.625,0,26,2,0,4,93,35,text
35,0,0,3,0,1,1,4,0,text
42,8,0,2,0,0,1,7,3,text
33,0,0,3,0,1,0,3,0,text
1307,0.432432432,0,42,2,0,7,190,71,text
122,1.111111111,0,4,3,11,1,9,0,code
556,0.066666667,0,14,2,0,1,85,40,text
33,0,0,1,0,2,0,4,0,code
1069,0.076923077,0,30,7,0,8,148,60,text
16,0,0,1,1,0,0,2,0,code
4282,0.02173913,1,119,29,13,6,606,65.25,text
221,2.4,2,6,3,11,0,23,1,code
57,0,0,5,0,0,1,20,9,text
332,3.285714286,3,10,3,15,1,31,2,code
1393,0,0,44,7,6,2,210,79,text
220,2.545454545,2,8,3,16,0,21,0.75,code
3195,0.032786885,0,78,15,16,8,470,210,text
264,3.230769231,2,9,3,21,1,22,0.75,code
290,0,0,8,2,4,0,40,13,text
27,0,0,2,0,5,1,2,0,code
2603,0,0,82,19,15,21,371,154,text
355,3.875,2,11,3,29,3,27,1.25,code
432,0,0,11,4,0,1,66,29,text
335,3.875,2,10,3,26,1,26,1.25,code
354,0,0,10,3,0,0,52,22,text
7,0,0,0,2,0,0,2,0,code
181,0.166666667,0,3,1,0,1,29,12,text
1364,6.270833333,2,44,3,139,6,98,1.5,code
527,0,0,12,3,2,1,75,20,text
20,0,0,0,0,0,1,4,3,text
65,0,0,0,2,0,0,11,6,text
110,0.666666667,0,2,0,13,8,7,2,code
629,0,0,12,3,0,1,96,43,text
7,0,0,0,2,0,0,2,0,code
384,0,0,6,2,0,2,59,22,text
81,1,0,2,1,2,0,13,7,text
319,0,0,9,3,4,1,52,26,text
8,0,0,0,2,0,0,2,0,text
625,0.076923077,0,14,7,0,1,98,41,text
358,3.882352941,2,12,3,30,4,28,0.75,code
4247,0.009708738,0,121,23,9,23,583,228,text
253,0.842105263,0,9,5,22,1,18,0,code
2235,0,0,61,12,3,0,314,130,text
614,1.666666667,8,16,2,32,11,40,1.25,code
444,0,0,12,2,0,0,61,25,text
9,0,0,1,0,0,1,1,0,text
292,0,0,7,3,0,0,43,15,text
18,0,0,1,0,3,2,2,0,code
332,0.1,0,9,0,2,0,51,23,text
28,0,0,1,0,3,3,1,0,text
2113,0.019607843,0,66,4,12,3,262,87,text
675,2.68,8,17,2,32,11,43,1.5,code
1908,0.151515152,0,42,7,0,1,296,143,text
20,0,0,1,1,1,0,2,0,code
419,0.1,0,15,4,0,2,72,36,text
166,1.090909091,2,5,3,10,1,11,0.25,code
316,0,0,8,1,0,1,49,23,text
246,1.714285714,2,7,3,15,2,14,0.25,code
462,0,0,12,2,0,0,63,24,text
526,2.19047619,6,13,2,26,13,31,1.25,code
193,0,0,4,5,0,0,34,14,text
40,2,0,1,0,4,0,1,0,text
639,0,0,16,4,0,1,106,54,text
227,1.733333333,1,8,2,22,6,15,0.5,code
848,0,0,26,4,0,1,135,69,text
31,0,0,1,0,3,1,4,1,code
153,0,0,4,2,0,2,19,6,text
234,1.733333333,1,8,2,22,5,15,0.5,code
1068,0,0,24,7,1,2,152,64,text
217,1.714285714,1,8,2,22,5,15,0.5,code
6,0,0,0,0,0,0,1,0,text
226,1.857142857,1,8,2,22,5,15,0.5,code
50,0,0,1,1,0,1,8,3,text
10,0,0,1,0,0,2,1,0,code
46,0,0,1,1,0,1,8,3,text
9,0,0,1,0,0,1,1,0,code
437,0,0,10,2,0,3,63,32,text
11,0,0,1,0,0,2,1,0,code
149,0.333333333,0,2,3,0,1,23,8,text
8,0,0,1,0,0,1,1,0,text
68,0,0,1,1,0,1,13,8,text
229,2.083333333,1,8,3,22,5,15,0.25,code
