41,weka.classifiers.meta.RandomSubSpace,0.03,0.921,0.826,0.871,0.807,0.912,0.856,   a   b   <-- classified as 152  32 |   a = text       13 134 |   b = code
42,weka.classifiers.meta.RotationForest,0.11,0.988,0.913,0.949,0.901,0.986,0.942,   a   b   <-- classified as 168  16 |   a = text        2 145 |   b = code
43,weka.classifiers.meta.Stacking,0.02,0.556,1,0.715,0,0,0,   a   b   <-- classified as 184   0 |   a = text      147   0 |   b = code
44,weka.classifiers.meta.StackingC,0.02,0.556,1,0.715,0,0,0,   a   b   <-- classified as 184   0 |   a = text      147   0 |   b = code
45,weka.classifiers.meta.ThresholdSelector,0.03,0.976,0.875,0.923,0.861,0.973,0.914,   a   b   <-- classified as 161  23 |   a = text        4 143 |   b = code
46,weka.classifiers.meta.Vote,0,0.556,1,0.715,0,0,0,   a   b   <-- classified as 184   0 |   a = text      147   0 |   b = code
47,weka.classifiers.misc.FLR,0,0.595,0.984,0.742,0.889,0.163,0.276,   a   b   <-- classified as 181   3 |   a = text      123  24 |   b = code
48,weka.classifiers.misc.HyperPipes,0,0.577,0.995,0.731,0.929,0.088,0.161,   a   b   <-- classified as 183   1 |   a = text      134  13 |   b = code
49,weka.classifiers.misc.VFI,0,0.801,0.636,0.709,0.638,0.803,0.711,   a   b   <-- classified as 117  67 |   a = text       29 118 |   b = code
50,weka.classifiers.rules.ConjunctiveRule,0.02,0.838,0.957,0.893,0.934,0.769,0.843,   a   b   <-- classified as 176   8 |   a = text       34 113 |   b = code
51,weka.classifiers.rules.DecisionTable,0.03,0.963,0.848,0.902,0.834,0.959,0.892,   a   b   <-- classified as 156  28 |   a = text        6 141 |   b = code
52,weka.classifiers.rules.DTNB,0.14,0.959,0.897,0.927,0.881,0.952,0.915,   a   b   <-- classified as 165  19 |   a = text        7 140 |   b = code
53,weka.classifiers.rules.JRip,0.05,0.916,0.946,0.93,0.929,0.891,0.91,   a   b   <-- classified as 174  10 |   a = text       16 131 |   b = code
54,weka.classifiers.rules.NNge,0.03,0.769,0.707,0.737,0.667,0.735,0.699,   a   b   <-- classified as 130  54 |   a = text       39 108 |   b = code
55,weka.classifiers.rules.OneR,0.02,0.817,0.728,0.77,0.701,0.796,0.745,   a   b   <-- classified as 134  50 |   a = text       30 117 |   b = code
56,weka.classifiers.rules.PART,0,0.916,0.946,0.93,0.929,0.891,0.91,   a   b   <-- classified as 174  10 |   a = text       16 131 |   b = code
57,weka.classifiers.rules.Ridor,0.03,0.971,0.897,0.932,0.882,0.966,0.922,   a   b   <-- classified as 165  19 |   a = text        5 142 |   b = code
58,weka.classifiers.trees.ADTree,0.03,0.946,0.951,0.949,0.938,0.932,0.935,   a   b   <-- classified as 175   9 |   a = text       10 137 |   b = code
59,weka.classifiers.trees.BFTree,0.03,0.92,0.935,0.927,0.917,0.898,0.907,   a   b   <-- classified as 172  12 |   a = text       15 132 |   b = code
60,weka.classifiers.trees.DecisionStump,0,0.868,0.821,0.844,0.79,0.844,0.816,   a   b   <-- classified as 151  33 |   a = text       23 124 |   b = code
61,weka.classifiers.trees.FT,0.05,0.981,0.832,0.9,0.823,0.98,0.894,   a   b   <-- classified as 153  31 |   a = text        3 144 |   b = code
62,weka.classifiers.trees.J48,0,0.916,0.946,0.93,0.929,0.891,0.91,   a   b   <-- classified as 174  10 |   a = text       16 131 |   b = code
63,weka.classifiers.trees.J48graft,0.02,0.845,0.951,0.895,0.927,0.782,0.849,   a   b   <-- classified as 175   9 |   a = text       32 115 |   b = code
64,weka.classifiers.trees.LADTree,0.05,0.976,0.902,0.938,0.888,0.973,0.929,   a   b   <-- classified as 166  18 |   a = text        4 143 |   b = code
65,weka.classifiers.trees.LMT,0.61,0.945,0.935,0.94,0.919,0.932,0.926,   a   b   <-- classified as 172  12 |   a = text       10 137 |   b = code
66,weka.classifiers.trees.NBTree,0.38,0.827,0.962,0.889,0.94,0.748,0.833,   a   b   <-- classified as 177   7 |   a = text       37 110 |   b = code
67,weka.classifiers.trees.RandomForest,0.03,0.936,0.88,0.908,0.861,0.925,0.892,   a   b   <-- classified as 162  22 |   a = text       11 136 |   b = code
68,weka.classifiers.trees.RandomTree,0,0.847,0.929,0.886,0.899,0.789,0.841,   a   b   <-- classified as 171  13 |   a = text       31 116 |   b = code
69,weka.classifiers.trees.REPTree,0,0.927,0.826,0.874,0.808,0.918,0.86,   a   b   <-- classified as 152  32 |   a = text       12 135 |   b = code
70,weka.classifiers.trees.SimpleCart,0.06,0.92,0.935,0.927,0.917,0.898,0.907,   a   b   <-- classified as 172  12 |   a = text       15 132 |   b = code
