@RELATION codesnippets

@ATTRIBUTE length		NUMERIC
@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  	{text, code}

@DATA
106,0.333333333,0,0,5,14,6,16,0,code
384,0.125,0,2,4,2,4,64,29,text
85,0,0,0,7,15,3,12,0,code
146,0,0,0,0,0,1,24,12,text
85,0,0,7,2,10,2,11,0,code
1034,0,0,7,9,1,0,169,73,text
729,3.2,5,12,19,57,21,86,11,code
2184,0.003021148,0,16,10,100,4,290,141,text
264,3.125,0,2,11,37,9,30,0,code
337,0,0,0,1,0,0,59,33,text
364,4.476190476,0,4,13,48,10,37,0,code
913,0,0,3,5,0,1,135,59,text
339,3.777777778,0,7,13,50,13,38,0,code
1117,0,0,0,9,2,1,181,81,text
402,4.333333333,0,3,10,46,13,46,0,code
461,0,0,0,2,0,1,72,33,text
308,2.238095238,1,6,6,24,12,40,9,code
43,0,0,0,1,0,1,5,1,text
30,0,0,0,0,0,4,4,2,text
220,0,0,0,1,0,1,42,26,text
339,2.304347826,1,6,7,26,13,44,9,code
48,0,0,0,1,0,1,7,2,text
30,0,0,0,0,0,4,4,2,text
714,0.052631579,0,0,2,2,1,127,77,text
951,3.282608696,4,11,21,101,37,116,6,code
208,0,0,0,5,0,1,33,13,text
220,2.545454545,2,3,5,16,0,27,4,code
2101,0.05,0,6,22,4,4,341,164,text
329,3.733333333,2,5,7,22,1,35,7,code
1323,0,0,3,17,4,1,230,122,text
34,0,0,1,0,3,2,5,0,code
1729,0.025,0,1,9,6,3,298,152,text
495,4.260869565,0,7,12,36,5,52,10,code
200,0,0,0,2,1,1,34,14,text
24,0,0,1,0,2,2,5,0,text
1807,0.024390244,0,1,12,10,2,316,163,text
322,4.2,1,7,8,24,3,30,4,code
556,0,0,1,8,0,1,94,43,text
953,3.025641026,9,28,15,45,18,106,15,code
170,0.1,0,1,0,0,1,26,13,text
60,0,0,3,1,3,1,6,0,code
174,0.333333333,0,4,1,0,0,26,13,text
47,0,0,4,1,3,1,5,0,code
636,0.277777778,0,9,3,4,0,104,49,text
1016,3.045454545,10,21,22,68,15,116,13,code
4404,0,0,13,20,6,3,700,345,text
214,2.4,0,5,7,11,1,22,0,code
629,0.111111111,0,11,6,0,1,103,48,text
263,0,0,7,2,22,30,46,2,text
213,0,0,7,1,0,1,34,17,text
35,0,0,1,1,0,2,6,2,text
540,0,0,7,5,0,2,91,44,text
57,0,0,3,2,2,0,8,0,code
550,0,0,5,8,0,2,92,43,text
44,0,0,2,3,0,0,5,0,code
5009,0.009433962,0,90,50,19,22,853,394,text
323,2.1875,0,10,9,19,1,29,0,code
118,0,0,3,1,0,1,20,9,text
309,0,0,8,2,24,35,54,4,code
1326,0,0,13,7,4,6,230,126,text
1609,2.608108108,0,42,55,116,1,190,0,code
1013,0,0,11,11,2,12,181,100,text
17,0,0,1,1,0,1,3,0,code
1149,0,0,5,18,2,1,209,117,text
52,0.5,0,2,1,4,1,6,0,code
103,0.142857143,0,1,0,0,1,19,10,text
47,1.333333333,0,2,1,3,0,7,2,code
131,0,0,2,4,2,0,22,9,text
21,1.333333333,0,1,0,3,0,2,0,code
109,0,0,2,0,0,0,19,12,text
1632,2.602564103,0,60,56,123,2,182,0,code
969,0.076923077,0,14,10,4,0,171,92,text
66,2.666666667,0,3,2,7,0,8,0,code
416,0.666666667,0,3,3,4,0,72,40,text
75,2.666666667,0,2,2,7,0,9,0,code
641,0.529411765,0,3,7,4,0,107,48,text
63,2.666666667,0,2,2,7,0,7,0,code
321,0.7,0,4,1,4,0,52,27,text
65,2.666666667,0,2,2,7,0,7,0,code
432,0.25,0,3,9,6,0,73,37,text
69,2.666666667,0,2,2,7,0,7,0,code
181,1.444444444,0,1,0,2,0,24,11,text
77,2.666666667,0,2,2,7,0,9,0,code
694,0.235294118,0,6,6,4,0,119,59,text
137,3,0,4,5,10,4,18,1,code
287,0.444444444,0,5,1,4,0,44,22,text
141,3,0,4,5,10,4,18,1,code
221,0.8,0,3,1,4,0,32,13,text
145,4,0,4,5,10,4,18,1,code
220,1.25,0,3,0,0,0,32,14,text
141,3,0,4,5,10,4,18,1,code
367,0.727272727,0,7,2,0,0,57,31,text
142,3,0,4,5,9,4,18,1,code
191,0.375,0,5,0,0,0,28,14,text
140,2.75,0,4,5,10,4,18,1,code
18,1,0,1,0,0,0,1,0,code
71,2.666666667,0,4,2,7,0,7,0,code
108,1.777777778,0,6,2,7,0,9,0,code
73,2.666666667,0,4,2,7,0,7,0,code
259,0.666666667,0,4,3,0,0,44,20,text
129,3,0,3,5,10,2,17,2,code
632,0.04,0,8,1,0,3,105,54,text
354,1.44,1,6,10,24,5,39,1,code
1355,0.032258065,0,7,9,7,2,227,115,text
32,0,0,1,0,3,0,4,0,code
5,0.5,0,0,0,0,0,1,1,text
36,0,0,1,0,3,0,4,0,code
4,0,0,0,0,0,0,0,0,code
358,1.44,1,6,10,24,5,39,1,code
349,0,0,3,7,0,0,62,29,text
35,0,0,1,0,2,0,4,0,code
672,0,0,6,3,7,1,107,53,text
694,1.783783784,1,31,15,40,13,64,1,code
864,0,0,5,9,4,2,144,81,text
660,1.612903226,1,32,10,37,13,60,1,code
593,0,0,4,6,2,1,102,50,text
135,1,0,3,6,13,2,14,0,code
578,0,0,0,10,4,0,105,52,text
837,1.756097561,1,35,16,52,10,78,1,code
425,0,0,2,9,2,0,73,34,text
912,1.795454545,2,37,16,58,10,87,1,code
458,0,0,6,4,0,1,76,28,text
20,0,0,0,0,2,0,1,0,text
24,0,0,0,0,0,0,4,2,text
20,0,0,0,0,2,0,1,0,text
16,0,0,0,0,0,0,3,1,text
11,0,0,0,0,2,0,0,0,text
176,0.142857143,0,0,1,0,1,31,18,text
1013,1.888888889,2,40,17,68,11,95,1,code
280,0,0,0,0,2,1,44,23,text
1124,2.32,1,42,20,76,15,104,1,code
184,0,0,3,3,0,0,34,17,text
1240,2.481481481,1,46,21,88,18,115,1,code
852,0,0,12,9,6,2,138,61,text
352,1.285714286,0,13,10,21,4,36,0,code
933,0,0,4,1,5,3,155,79,text
465,2.615384615,1,19,14,42,15,62,3,code
71,0,0,1,2,0,0,14,7,text
120,4.666666667,0,5,4,22,7,22,0,code
1791,0.093023256,0,13,6,4,2,325,178,text
1304,3.096774194,5,67,23,76,31,149,14,code
522,0.285714286,0,10,6,0,1,90,45,text
1961,3.540229885,5,100,35,133,43,199,14,code
1611,0.086956522,0,0,6,2,4,268,138,text
2072,2.7,3,80,52,160,40,226,12,code
674,0,0,2,3,0,1,115,64,text
2303,3.063157895,3,89,42,295,52,216,9,code
860,0,0,2,3,2,3,138,65,text
1631,2.947368421,2,46,35,128,18,148,1,code
402,0,0,4,2,0,1,63,26,text
2570,3.127272727,3,88,51,323,62,242,9,code
821,0,0,2,6,2,1,132,56,text
758,3.944444444,6,12,22,64,16,80,12,code
675,0,0,6,3,0,2,112,54,text
