@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class	{text, code}

@DATA

10.58802178,0,0.103139013,0.031390135,0.001105845,0.003949447,669,0.255605381,text
0,0,1,0,0.125,0,2,0,code
4,0,0,0.058823529,0.019230769,0.009615385,17,0.529411765,text
0,0,0.5,0.5,0.272727273,0,2,0,code
5,0,0.055555556,0.111111111,0,0.009090909,18,0.444444444,text
0,0,0,0,0.2,0,2,0,code
8,0,0,0,0.00862069,0.00862069,38,0.552631579,text
0,1,0.166666667,0.166666667,0.073170732,0,6,0.333333333,code
4.571428571,0,0.055555556,0.055555556,0,0,18,0.277777778,text
0,0,0.4,0.6,0.1875,0.03125,5,0,code
6.222222222,0,0.05,0.05,0,0,20,0.4,text
0,0,0.25,0.5,0.122807018,0.035087719,8,0,code
4.571428571,0,0,0,0,0,8,0.75,text
0,0,0,0.25,0.161290323,0.032258065,4,0,code
6.095238095,0,0,0.020833333,0.00625,0.003125,48,0.5,text
0,0,0.375,0.625,0.169811321,0.037735849,8,0,code
8,0,0.027777778,0.055555556,0,0.004201681,36,0.472222222,text
0,0,0,0,0.106382979,0.021276596,5,0,code
1.142857143,0,0,0,0,0,1,1,text
0,0,0,0.142857143,0.118644068,0.016949153,7,0,code
7,0,0,0.083333333,0,0,12,0.416666667,text
0,0,0.25,0.75,0.152173913,0.02173913,4,0,code
7.2,0,0,0.117647059,0,0.005,34,0.5,text
0,0,0,0.125,0.119402985,0.014925373,8,0,code
1.6,0,0,0.142857143,0,0.01754386,7,0.428571429,text
1.6,0,0,0.1875,0.095238095,0.007936508,16,0.1875,code
7.272727273,0,0,0,0,0,35,0.485714286,text
0,0,0,0.25,0.161290323,0.032258065,4,0,code
4.571428571,0,0,0,0,0,7,0.714285714,text
0,0,0,0,0.160714286,0.053571429,6,0,code
4.571428571,0,0,0.1,0,0.014925373,10,0.5,text
0,0,0.1,0.2,0.157894737,0.052631579,10,0,code
4.571428571,0,0,0,0,0.011904762,11,0.454545455,text
0,0,0.083333333,0.166666667,0.132352941,0.044117647,12,0,code
8,0,0.022222222,0.044444444,0,0.003891051,45,0.488888889,text
0,0,0.125,0.25,0.184615385,0.030769231,8,0,code
7.333333333,0,0.026315789,0.052631579,0.008368201,0.012552301,38,0.421052632,text
1.619047619,1,0.15942029,0.246376812,0.116236162,0.029520295,69,0.043478261,code
3.333333333,0,0.027777778,0.055555556,0,0.013333333,36,0.472222222,text
1.5,0,0.15,0.275,0.12716763,0.020231214,40,0,code
7.466666667,0,0.037735849,0.018867925,0.012345679,0.00308642,53,0.490566038,text
0,0,0.095238095,0.095238095,0.142156863,0.034313725,21,0,code
9.333333333,0,0.01754386,0.052631579,0.006024096,0.003012048,57,0.561403509,text
1.5,0,0.357142857,0.428571429,0.021052632,0,14,0,code
1.142857143,0,0.142857143,0,0,0.051724138,7,0,text
2.166666667,1,0.307692308,0.211538462,0.077830189,0.011792453,52,0.115384615,code
12.36363636,0,0.2,0,0,0,25,0.44,text
0,0,0.666666667,0,0.055555556,0,6,0,code
24.88888889,0,0.127659574,0.021276596,0,0,47,0.531914894,text
3,0,0.625,0,0.042253521,0,8,0,code
13.01694915,0,0.034653465,0.034653465,0.002189781,0.008029197,202,0.45049505,text
1.5,0,0.15,0.275,0.12716763,0.020231214,40,0,code
10.61904762,0,0.009615385,0.024038462,0.004511278,0.003007519,208,0.509615385,text
0.333333333,0,0.571428571,0.142857143,0.037974684,0.012658228,7,0,code
7.384615385,0,0,0.04,0,0.014367816,50,0.38,text
0,0,1,0,0.233333333,0,2,0,code
5,0,0,0,0,0.005208333,26,0.461538462,text
0,0,0.833333333,0.166666667,0.137254902,0.019607843,6,0,code
7,0,0,0,0.009009009,0,13,0.538461538,text
0,0,0,0.75,0.25,0.027777778,4,0,code
10.4,0,0,0,0.007434944,0,44,0.590909091,text
0,0,0,0.75,0.317073171,0.024390244,4,0,code
9.066666667,0,0,0.05,0,0.002840909,60,0.533333333,text
0,0,0.5,0.5,0.384615385,0,2,0,code
6.25,0,0,0.086956522,0.014814815,0.007407407,23,0.565217391,text
0,0,0.5,0.5,0.466666667,0,2,0,code
4.571428571,0,0,0,0,0.005464481,29,0.482758621,text
0,0,0.25,0.75,0.310344828,0.034482759,4,0,code
6,0,0,0.034482759,0,0,58,0.603448276,text
0,0,0.333333333,0.666666667,0.238095238,0.047619048,3,0,code
7.272727273,0,0.026315789,0.013157895,0.003952569,0.005928854,76,0.486842105,text
3.727272727,0,0.189189189,0.324324324,0.091935484,0.016129032,37,0,code
3,0,0,0,0,0.006896552,19,0.421052632,text
0,0,0.25,0.75,0.321428571,0.035714286,4,0,code
20.75806452,0,0.035885167,0.076555024,0.006783292,0.001428061,418,0.488038278,text
1.166666667,0,0.162790698,0.139534884,0.108247423,0.018041237,43,0,code
9.481481481,0,0.02173913,0.02173913,0,0.008116883,92,0.456521739,text
0.923076923,5,0.230769231,0.333333333,0.088235294,0.018716578,39,0.076923077,code
9.662650602,0,0.076404494,0.049438202,0.002853067,0.002496434,445,0.485393258,text
